# Source File: event_3813702_da880469-2471-45c2-ae44-d1251e636076.gsdata
# Data Type:   GS Data
# Record Count: 2100
# Format: dateTime (epoch ms), dateTime (UTC ISO), x, y, z
dateTime,dateTimeISO,x,y,z
1785331291000,2026-07-29T13:21:31.000Z,-173,-76,715
1785331291010,2026-07-29T13:21:31.010Z,-173,-76,715
1785331291020,2026-07-29T13:21:31.020Z,-76,37,999
1785331291030,2026-07-29T13:21:31.030Z,48,41,1001
1785331291040,2026-07-29T13:21:31.040Z,-63,-20,967
1785331291050,2026-07-29T13:21:31.050Z,124,-44,902
1785331291060,2026-07-29T13:21:31.060Z,-94,-94,813
1785331291070,2026-07-29T13:21:31.070Z,-43,-109,949
1785331291080,2026-07-29T13:21:31.080Z,-43,-109,949
1785331291090,2026-07-29T13:21:31.090Z,-25,35,1011
1785331291100,2026-07-29T13:21:31.100Z,-57,42,1112
1785331291110,2026-07-29T13:21:31.110Z,-151,90,822
1785331291120,2026-07-29T13:21:31.120Z,87,73,839
1785331291130,2026-07-29T13:21:31.130Z,-115,-14,715
1785331291140,2026-07-29T13:21:31.140Z,103,-98,815
1785331291150,2026-07-29T13:21:31.150Z,9,-137,906
1785331291160,2026-07-29T13:21:31.160Z,-72,-94,872
1785331291170,2026-07-29T13:21:31.170Z,7,-22,992
1785331291180,2026-07-29T13:21:31.180Z,-47,58,1042
1785331291190,2026-07-29T13:21:31.190Z,-109,80,984
1785331291200,2026-07-29T13:21:31.200Z,-9,25,960
1785331291210,2026-07-29T13:21:31.210Z,62,17,967
1785331291220,2026-07-29T13:21:31.220Z,-7,-16,775
1785331291230,2026-07-29T13:21:31.230Z,138,32,887
1785331291240,2026-07-29T13:21:31.240Z,2,62,1022
1785331291250,2026-07-29T13:21:31.250Z,21,13,999
1785331291260,2026-07-29T13:21:31.260Z,52,-42,1147
1785331291270,2026-07-29T13:21:31.270Z,-153,-117,904
1785331291280,2026-07-29T13:21:31.280Z,13,-54,861
1785331291290,2026-07-29T13:21:31.290Z,-24,87,942
1785331291300,2026-07-29T13:21:31.300Z,-24,87,942
1785331291310,2026-07-29T13:21:31.310Z,-36,82,1024
1785331291320,2026-07-29T13:21:31.320Z,116,64,1206
1785331291330,2026-07-29T13:21:31.330Z,-64,83,1153
1785331291340,2026-07-29T13:21:31.340Z,106,43,1038
1785331291350,2026-07-29T13:21:31.350Z,6,-42,936
1785331291360,2026-07-29T13:21:31.360Z,-150,-38,903
1785331291370,2026-07-29T13:21:31.370Z,40,-77,1117
1785331291380,2026-07-29T13:21:31.380Z,-24,-90,1181
1785331291390,2026-07-29T13:21:31.390Z,-318,-60,876
1785331291400,2026-07-29T13:21:31.400Z,225,5,1147
1785331291410,2026-07-29T13:21:31.410Z,-50,87,950
1785331291420,2026-07-29T13:21:31.420Z,-56,49,975
1785331291430,2026-07-29T13:21:31.430Z,56,11,1147
1785331291440,2026-07-29T13:21:31.440Z,-72,-45,1219
1785331291450,2026-07-29T13:21:31.450Z,99,-56,1145
1785331291460,2026-07-29T13:21:31.460Z,-252,-41,983
1785331291470,2026-07-29T13:21:31.470Z,-323,17,980
1785331291480,2026-07-29T13:21:31.480Z,-191,95,1022
1785331291490,2026-07-29T13:21:31.490Z,-73,96,1104
1785331291500,2026-07-29T13:21:31.500Z,-4,73,1142
1785331291510,2026-07-29T13:21:31.510Z,-12,8,956
1785331291520,2026-07-29T13:21:31.520Z,-12,8,956
1785331291530,2026-07-29T13:21:31.530Z,154,-22,1011
1785331291540,2026-07-29T13:21:31.540Z,-83,-81,918
1785331291550,2026-07-29T13:21:31.550Z,2,-32,936
1785331291560,2026-07-29T13:21:31.560Z,-112,-29,948
1785331291570,2026-07-29T13:21:31.570Z,31,49,1041
1785331291580,2026-07-29T13:21:31.580Z,21,-16,1022
1785331291590,2026-07-29T13:21:31.590Z,147,-44,1109
1785331291600,2026-07-29T13:21:31.600Z,-21,-87,750
1785331291610,2026-07-29T13:21:31.610Z,158,-84,777
1785331291620,2026-07-29T13:21:31.620Z,84,-39,714
1785331291630,2026-07-29T13:21:31.630Z,14,-33,745
1785331291640,2026-07-29T13:21:31.640Z,-31,-27,896
1785331291650,2026-07-29T13:21:31.650Z,66,-18,1034
1785331291660,2026-07-29T13:21:31.660Z,135,-26,993
1785331291670,2026-07-29T13:21:31.670Z,-125,-6,707
1785331291680,2026-07-29T13:21:31.680Z,76,43,713
1785331291690,2026-07-29T13:21:31.690Z,11,78,789
1785331291700,2026-07-29T13:21:31.700Z,-107,16,895
1785331291710,2026-07-29T13:21:31.710Z,105,-24,1030
1785331291720,2026-07-29T13:21:31.720Z,180,-27,853
1785331291730,2026-07-29T13:21:31.730Z,13,-33,791
1785331291740,2026-07-29T13:21:31.740Z,141,-17,890
1785331291750,2026-07-29T13:21:31.750Z,63,30,853
1785331291760,2026-07-29T13:21:31.760Z,-68,-8,1040
1785331291770,2026-07-29T13:21:31.770Z,181,18,1151
1785331291780,2026-07-29T13:21:31.780Z,-55,-17,906
1785331291790,2026-07-29T13:21:31.790Z,-67,72,752
1785331291800,2026-07-29T13:21:31.800Z,-67,72,752
1785331291810,2026-07-29T13:21:31.810Z,-67,72,752
1785331291820,2026-07-29T13:21:31.820Z,75,92,1162
1785331291830,2026-07-29T13:21:31.830Z,139,83,1186
1785331291840,2026-07-29T13:21:31.840Z,93,73,1172
1785331291850,2026-07-29T13:21:31.850Z,32,46,1066
1785331291860,2026-07-29T13:21:31.860Z,-146,29,989
1785331291870,2026-07-29T13:21:31.870Z,-50,-20,1056
1785331291880,2026-07-29T13:21:31.880Z,-161,-4,1034
