# Source File: event_5170893_a5a557b5-40cc-4b47-8281-ca957c13036d.gsdata
# Data Type:   GS Data
# Record Count: 2100
# Format: dateTime (epoch ms), dateTime (UTC ISO), x, y, z
dateTime,dateTimeISO,x,y,z
1786783632000,2026-08-15T08:47:12.000Z,-39,18,1020
1786783632010,2026-08-15T08:47:12.010Z,25,-52,961
1786783632020,2026-08-15T08:47:12.020Z,71,-50,937
1786783632030,2026-08-15T08:47:12.030Z,-4,-36,922
1786783632040,2026-08-15T08:47:12.040Z,61,-77,969
1786783632050,2026-08-15T08:47:12.050Z,61,-77,969
1786783632060,2026-08-15T08:47:12.060Z,8,-29,950
1786783632070,2026-08-15T08:47:12.070Z,51,40,1013
1786783632080,2026-08-15T08:47:12.080Z,-36,22,978
1786783632090,2026-08-15T08:47:12.090Z,-25,-6,1016
1786783632100,2026-08-15T08:47:12.100Z,-87,25,984
1786783632110,2026-08-15T08:47:12.110Z,3,-6,997
1786783632120,2026-08-15T08:47:12.120Z,-45,-19,941
1786783632130,2026-08-15T08:47:12.130Z,56,-2,992
1786783632140,2026-08-15T08:47:12.140Z,68,-71,1016
1786783632150,2026-08-15T08:47:12.150Z,32,-23,972
1786783632160,2026-08-15T08:47:12.160Z,32,-23,972
1786783632170,2026-08-15T08:47:12.170Z,-41,12,1001
1786783632180,2026-08-15T08:47:12.180Z,26,52,1012
1786783632190,2026-08-15T08:47:12.190Z,-84,36,1003
1786783632200,2026-08-15T08:47:12.200Z,15,-16,998
1786783632210,2026-08-15T08:47:12.210Z,-16,-6,969
1786783632220,2026-08-15T08:47:12.220Z,116,-12,1039
1786783632230,2026-08-15T08:47:12.230Z,71,-83,977
1786783632240,2026-08-15T08:47:12.240Z,112,-27,979
1786783632250,2026-08-15T08:47:12.250Z,112,-27,979
1786783632260,2026-08-15T08:47:12.260Z,39,22,1005
1786783632270,2026-08-15T08:47:12.270Z,-59,29,966
1786783632280,2026-08-15T08:47:12.280Z,-32,44,1017
1786783632290,2026-08-15T08:47:12.290Z,-121,-44,931
1786783632300,2026-08-15T08:47:12.300Z,-25,-71,944
1786783632310,2026-08-15T08:47:12.310Z,46,-77,977
1786783632320,2026-08-15T08:47:12.320Z,46,-65,1015
1786783632330,2026-08-15T08:47:12.330Z,141,-69,984
1786783632340,2026-08-15T08:47:12.340Z,106,-81,980
1786783632350,2026-08-15T08:47:12.350Z,18,-8,1015
1786783632360,2026-08-15T08:47:12.360Z,-65,-8,1035
1786783632370,2026-08-15T08:47:12.370Z,-68,23,1008
1786783632380,2026-08-15T08:47:12.380Z,-61,4,1058
1786783632390,2026-08-15T08:47:12.390Z,-78,-8,1002
1786783632400,2026-08-15T08:47:12.400Z,31,-42,918
1786783632410,2026-08-15T08:47:12.410Z,96,-54,951
1786783632420,2026-08-15T08:47:12.420Z,14,-71,928
1786783632430,2026-08-15T08:47:12.430Z,149,-75,995
1786783632440,2026-08-15T08:47:12.440Z,26,-54,1003
1786783632450,2026-08-15T08:47:12.450Z,-14,2,1006
1786783632460,2026-08-15T08:47:12.460Z,-42,-12,1031
1786783632470,2026-08-15T08:47:12.470Z,-42,-12,1031
1786783632480,2026-08-15T08:47:12.480Z,-121,8,982
1786783632490,2026-08-15T08:47:12.490Z,-147,-8,953
1786783632500,2026-08-15T08:47:12.500Z,66,-12,1007
1786783632510,2026-08-15T08:47:12.510Z,-28,-44,916
1786783632520,2026-08-15T08:47:12.520Z,112,-63,977
1786783632530,2026-08-15T08:47:12.530Z,136,-25,1005
1786783632540,2026-08-15T08:47:12.540Z,55,2,991
1786783632550,2026-08-15T08:47:12.550Z,-144,2,988
1786783632560,2026-08-15T08:47:12.560Z,-44,54,1009
1786783632570,2026-08-15T08:47:12.570Z,-59,14,1050
1786783632580,2026-08-15T08:47:12.580Z,-131,-31,952
1786783632590,2026-08-15T08:47:12.590Z,101,-4,978
1786783632600,2026-08-15T08:47:12.600Z,59,-4,1023
1786783632610,2026-08-15T08:47:12.610Z,80,-48,973
1786783632620,2026-08-15T08:47:12.620Z,104,-16,966
1786783632630,2026-08-15T08:47:12.630Z,15,12,1013
1786783632640,2026-08-15T08:47:12.640Z,-107,36,1022
1786783632650,2026-08-15T08:47:12.650Z,-67,54,982
1786783632660,2026-08-15T08:47:12.660Z,-67,54,982
1786783632670,2026-08-15T08:47:12.670Z,-88,54,968
1786783632680,2026-08-15T08:47:12.680Z,101,42,958
1786783632690,2026-08-15T08:47:12.690Z,67,10,986
1786783632700,2026-08-15T08:47:12.700Z,3,8,952
1786783632710,2026-08-15T08:47:12.710Z,78,14,982
1786783632720,2026-08-15T08:47:12.720Z,62,14,976
1786783632730,2026-08-15T08:47:12.730Z,71,54,973
1786783632740,2026-08-15T08:47:12.740Z,-158,69,990
1786783632750,2026-08-15T08:47:12.750Z,-46,69,1027
1786783632760,2026-08-15T08:47:12.760Z,-32,77,1021
1786783632770,2026-08-15T08:47:12.770Z,-80,54,1020
1786783632780,2026-08-15T08:47:12.780Z,84,12,1030
1786783632790,2026-08-15T08:47:12.790Z,48,-27,931
1786783632800,2026-08-15T08:47:12.800Z,68,-58,907
1786783632810,2026-08-15T08:47:12.810Z,133,-18,932
1786783632820,2026-08-15T08:47:12.820Z,79,34,998
1786783632830,2026-08-15T08:47:12.830Z,-82,27,965
1786783632840,2026-08-15T08:47:12.840Z,-25,60,1006
1786783632850,2026-08-15T08:47:12.850Z,-33,71,1007
1786783632860,2026-08-15T08:47:12.860Z,3,23,920
1786783632870,2026-08-15T08:47:12.870Z,3,23,920
1786783632880,2026-08-15T08:47:12.880Z,48,-8,944
1786783632890,2026-08-15T08:47:12.890Z,89,-48,939
1786783632900,2026-08-15T08:47:12.900Z,125,-50,931
1786783632910,2026-08-15T08:47:12.910Z,88,-38,960
1786783632920,2026-08-15T08:47:12.920Z,-38,29,969
1786783632930,2026-08-15T08:47:12.930Z,-49,22,949
1786783632940,2026-08-15T08:47:12.940Z,-31,-4,979
1786783632950,2026-08-15T08:47:12.950Z,-99,54,936
1786783632960,2026-08-15T08:47:12.960Z,30,12,950
1786783632970,2026-08-15T08:47:12.970Z,-5,-21,938
1786783632980,2026-08-15T08:47:12.980Z,44,-36,991
1786783632990,2026-08-15T08:47:12.990Z,31,-12,965
1786783633000,2026-08-15T08:47:13.000Z,84,-19,978
1786783633010,2026-08-15T08:47:13.010Z,59,4,996
1786783633020,2026-08-15T08:47:13.020Z,-164,42,966
1786783633030,2026-08-15T08:47:13.030Z,-67,65,1066
1786783633040,2026-08-15T08:47:13.040Z,-106,83,1008
1786783633050,2026-08-15T08:47:13.050Z,-202,64,960
1786783633060,2026-08-15T08:47:13.060Z,-13,32,1040
1786783633070,2026-08-15T08:47:13.070Z,63,10,955
1786783633080,2026-08-15T08:47:13.080Z,-13,-31,994
1786783633090,2026-08-15T08:47:13.090Z,11,4,989
1786783633100,2026-08-15T08:47:13.100Z,-21,44,1090
1786783633110,2026-08-15T08:47:13.110Z,-75,18,1079
1786783633120,2026-08-15T08:47:13.120Z,-75,62,1045
1786783633130,2026-08-15T08:47:13.130Z,-102,89,1039
1786783633140,2026-08-15T08:47:13.140Z,-187,67,978
1786783633150,2026-08-15T08:47:13.150Z,-23,38,977
1786783633160,2026-08-15T08:47:13.160Z,-14,-23,1012
1786783633170,2026-08-15T08:47:13.170Z,76,-32,1055
1786783633180,2026-08-15T08:47:13.180Z,88,-31,1002
1786783633190,2026-08-15T08:47:13.190Z,70,-29,954
1786783633200,2026-08-15T08:47:13.200Z,-47,46,1049
1786783633210,2026-08-15T08:47:13.210Z,-18,91,1092
1786783633220,2026-08-15T08:47:13.220Z,-179,36,1041
1786783633230,2026-08-15T08:47:13.230Z,-86,14,1108
1786783633240,2026-08-15T08:47:13.240Z,-28,-12,1017
1786783633250,2026-08-15T08:47:13.250Z,-28,-12,1017
1786783633260,2026-08-15T08:47:13.260Z,74,-81,985
1786783633270,2026-08-15T08:47:13.270Z,128,-27,997
1786783633280,2026-08-15T08:47:13.280Z,159,-25,997
1786783633290,2026-08-15T08:47:13.290Z,49,-34,984
1786783633300,2026-08-15T08:47:13.300Z,-3,14,934
1786783633310,2026-08-15T08:47:13.310Z,-142,48,870
1786783633320,2026-08-15T08:47:13.320Z,-62,69,965
1786783633330,2026-08-15T08:47:13.330Z,-158,75,849
1786783633340,2026-08-15T08:47:13.340Z,-53,58,890
1786783633350,2026-08-15T08:47:13.350Z,22,0,980
1786783633360,2026-08-15T08:47:13.360Z,149,-42,1016
1786783633370,2026-08-15T08:47:13.370Z,124,-69,1002
1786783633380,2026-08-15T08:47:13.380Z,56,40,1004
1786783633390,2026-08-15T08:47:13.390Z,105,40,995
1786783633400,2026-08-15T08:47:13.400Z,-36,73,901
1786783633410,2026-08-15T08:47:13.410Z,-36,73,901
1786783633420,2026-08-15T08:47:13.420Z,-149,10,816
1786783633430,2026-08-15T08:47:13.430Z,163,27,878
1786783633440,2026-08-15T08:47:13.440Z,63,-2,878
1786783633450,2026-08-15T08:47:13.450Z,184,-29,1059
1786783633460,2026-08-15T08:47:13.460Z,-32,8,970
1786783633470,2026-08-15T08:47:13.470Z,161,-6,968
1786783633480,2026-08-15T08:47:13.480Z,-99,52,963
1786783633490,2026-08-15T08:47:13.490Z,-24,79,1124
1786783633500,2026-08-15T08:47:13.500Z,-239,123,1128
1786783633510,2026-08-15T08:47:13.510Z,-154,117,1103
1786783633520,2026-08-15T08:47:13.520Z,-60,96,1014
1786783633530,2026-08-15T08:47:13.530Z,149,77,967
1786783633540,2026-08-15T08:47:13.540Z,63,-29,825
1786783633550,2026-08-15T08:47:13.550Z,123,-85,944
1786783633560,2026-08-15T08:47:13.560Z,3,-48,1008
1786783633570,2026-08-15T08:47:13.570Z,11,-21,1064
1786783633580,2026-08-15T08:47:13.580Z,-81,60,1087
1786783633590,2026-08-15T08:47:13.590Z,-227,77,954
1786783633600,2026-08-15T08:47:13.600Z,-155,48,993
1786783633610,2026-08-15T08:47:13.610Z,-170,23,883
1786783633620,2026-08-15T08:47:13.620Z,10,0,1046
1786783633630,2026-08-15T08:47:13.630Z,9,-2,1100
1786783633640,2026-08-15T08:47:13.640Z,129,-31,1129
1786783633650,2026-08-15T08:47:13.650Z,115,-69,947
1786783633660,2026-08-15T08:47:13.660Z,115,-69,947
1786783633670,2026-08-15T08:47:13.670Z,-2,-56,817
1786783633680,2026-08-15T08:47:13.680Z,-8,-4,915
1786783633690,2026-08-15T08:47:13.690Z,-120,14,963
1786783633700,2026-08-15T08:47:13.700Z,-89,14,1022
1786783633710,2026-08-15T08:47:13.710Z,-47,-93,918
1786783633720,2026-08-15T08:47:13.720Z,-47,-93,918
1786783633730,2026-08-15T08:47:13.730Z,47,-34,897
1786783633740,2026-08-15T08:47:13.740Z,47,-34,897
1786783633750,2026-08-15T08:47:13.750Z,66,-16,911
1786783633760,2026-08-15T08:47:13.760Z,-7,50,948
1786783633770,2026-08-15T08:47:13.770Z,-27,87,975
1786783633780,2026-08-15T08:47:13.780Z,-77,93,987
1786783633790,2026-08-15T08:47:13.790Z,-47,-4,995
1786783633800,2026-08-15T08:47:13.800Z,-156,4,937
1786783633810,2026-08-15T08:47:13.810Z,47,-10,990
1786783633820,2026-08-15T08:47:13.820Z,11,-34,963
1786783633830,2026-08-15T08:47:13.830Z,138,-27,1040
1786783633840,2026-08-15T08:47:13.840Z,-79,-18,935
1786783633850,2026-08-15T08:47:13.850Z,137,16,1056
1786783633860,2026-08-15T08:47:13.860Z,34,50,1018
1786783633870,2026-08-15T08:47:13.870Z,34,50,1018
1786783633880,2026-08-15T08:47:13.880Z,-92,75,1019
1786783633890,2026-08-15T08:47:13.890Z,-115,62,1018
1786783633900,2026-08-15T08:47:13.900Z,-34,25,950
1786783633910,2026-08-15T08:47:13.910Z,-17,16,983
1786783633920,2026-08-15T08:47:13.920Z,73,2,991
1786783633930,2026-08-15T08:47:13.930Z,-37,-8,929
1786783633940,2026-08-15T08:47:13.940Z,150,-8,1000
1786783633950,2026-08-15T08:47:13.950Z,-80,4,929
1786783633960,2026-08-15T08:47:13.960Z,102,2,1081
1786783633970,2026-08-15T08:47:13.970Z,-57,-23,1071
1786783633980,2026-08-15T08:47:13.980Z,-96,-34,1051
1786783633990,2026-08-15T08:47:13.990Z,4,10,1059
1786783634000,2026-08-15T08:47:14.000Z,28,-25,955
1786783634010,2026-08-15T08:47:14.010Z,64,-32,914
1786783634020,2026-08-15T08:47:14.020Z,107,-34,950
1786783634030,2026-08-15T08:47:14.030Z,8,-40,935
1786783634040,2026-08-15T08:47:14.040Z,51,-12,1017
1786783634050,2026-08-15T08:47:14.050Z,-52,10,1040
1786783634060,2026-08-15T08:47:14.060Z,-52,10,1040
1786783634070,2026-08-15T08:47:14.070Z,-90,-50,965
1786783634080,2026-08-15T08:47:14.080Z,-30,-34,948
1786783634090,2026-08-15T08:47:14.090Z,-71,-8,943
1786783634100,2026-08-15T08:47:14.100Z,-14,-31,974
1786783634110,2026-08-15T08:47:14.110Z,47,-60,942
1786783634120,2026-08-15T08:47:14.120Z,115,-79,949
1786783634130,2026-08-15T08:47:14.130Z,102,-40,924
1786783634140,2026-08-15T08:47:14.140Z,101,-8,969
1786783634150,2026-08-15T08:47:14.150Z,-42,38,1000
1786783634160,2026-08-15T08:47:14.160Z,-42,38,1000
1786783634170,2026-08-15T08:47:14.170Z,-72,32,998
1786783634180,2026-08-15T08:47:14.180Z,-150,22,939
1786783634190,2026-08-15T08:47:14.190Z,-48,-18,926
1786783634200,2026-08-15T08:47:14.200Z,43,-18,929
1786783634210,2026-08-15T08:47:14.210Z,60,-27,985
1786783634220,2026-08-15T08:47:14.220Z,67,-31,965
1786783634230,2026-08-15T08:47:14.230Z,-2,-6,957
1786783634240,2026-08-15T08:47:14.240Z,8,40,1012
1786783634250,2026-08-15T08:47:14.250Z,-99,58,1028
1786783634260,2026-08-15T08:47:14.260Z,-111,32,1011
1786783634270,2026-08-15T08:47:14.270Z,-40,65,1040
1786783634280,2026-08-15T08:47:14.280Z,10,48,1027
1786783634290,2026-08-15T08:47:14.290Z,18,29,977
1786783634300,2026-08-15T08:47:14.300Z,-41,22,970
1786783634310,2026-08-15T08:47:14.310Z,-11,20,1005
1786783634320,2026-08-15T08:47:14.320Z,-2,20,1014
1786783634330,2026-08-15T08:47:14.330Z,6,16,1023
1786783634340,2026-08-15T08:47:14.340Z,17,75,1049
1786783634350,2026-08-15T08:47:14.350Z,-38,65,1049
1786783634360,2026-08-15T08:47:14.360Z,-108,85,969
1786783634370,2026-08-15T08:47:14.370Z,-108,85,969
1786783634380,2026-08-15T08:47:14.380Z,3,64,994
1786783634390,2026-08-15T08:47:14.390Z,0,34,1013
1786783634400,2026-08-15T08:47:14.400Z,46,18,1024
1786783634410,2026-08-15T08:47:14.410Z,19,8,982
1786783634420,2026-08-15T08:47:14.420Z,43,52,1017
1786783634430,2026-08-15T08:47:14.430Z,-12,40,987
1786783634440,2026-08-15T08:47:14.440Z,-25,54,1035
1786783634450,2026-08-15T08:47:14.450Z,-51,56,1054
1786783634460,2026-08-15T08:47:14.460Z,-103,58,1031
1786783634470,2026-08-15T08:47:14.470Z,33,4,987
1786783634480,2026-08-15T08:47:14.480Z,-1,-18,923
1786783634490,2026-08-15T08:47:14.490Z,125,-32,985
1786783634500,2026-08-15T08:47:14.500Z,14,-63,919
1786783634510,2026-08-15T08:47:14.510Z,85,-60,948
1786783634520,2026-08-15T08:47:14.520Z,69,-19,936
1786783634530,2026-08-15T08:47:14.530Z,49,-10,1003
1786783634540,2026-08-15T08:47:14.540Z,49,-10,1003
1786783634550,2026-08-15T08:47:14.550Z,-104,-18,941
1786783634560,2026-08-15T08:47:14.560Z,40,-23,1003
1786783634570,2026-08-15T08:47:14.570Z,6,-46,930
1786783634580,2026-08-15T08:47:14.580Z,28,-65,866
1786783634590,2026-08-15T08:47:14.590Z,11,-58,895
1786783634600,2026-08-15T08:47:14.600Z,112,-71,935
1786783634610,2026-08-15T08:47:14.610Z,112,-71,935
1786783634620,2026-08-15T08:47:14.620Z,14,-50,951
1786783634630,2026-08-15T08:47:14.630Z,38,-12,1009
1786783634640,2026-08-15T08:47:14.640Z,-133,-10,970
1786783634650,2026-08-15T08:47:14.650Z,-24,-36,970
1786783634660,2026-08-15T08:47:14.660Z,-24,-36,970
1786783634670,2026-08-15T08:47:14.670Z,15,-61,949
1786783634680,2026-08-15T08:47:14.680Z,5,-63,998
1786783634690,2026-08-15T08:47:14.690Z,50,-81,997
1786783634700,2026-08-15T08:47:14.700Z,-15,-46,972
1786783634710,2026-08-15T08:47:14.710Z,73,-2,1074
1786783634720,2026-08-15T08:47:14.720Z,-7,16,1028
1786783634730,2026-08-15T08:47:14.730Z,-116,12,1060
1786783634740,2026-08-15T08:47:14.740Z,-137,25,1042
1786783634750,2026-08-15T08:47:14.750Z,-74,34,1048
1786783634760,2026-08-15T08:47:14.760Z,-68,0,969
1786783634770,2026-08-15T08:47:14.770Z,-48,16,988
1786783634780,2026-08-15T08:47:14.780Z,-20,-14,1004
1786783634790,2026-08-15T08:47:14.790Z,-20,-14,1004
1786783634800,2026-08-15T08:47:14.800Z,65,-2,1052
1786783634810,2026-08-15T08:47:14.810Z,-36,12,1079
1786783634820,2026-08-15T08:47:14.820Z,-119,44,1085
1786783634830,2026-08-15T08:47:14.830Z,-114,22,1081
1786783634840,2026-08-15T08:47:14.840Z,-150,31,1007
1786783634850,2026-08-15T08:47:14.850Z,-55,10,1013
1786783634860,2026-08-15T08:47:14.860Z,-51,-16,954
1786783634870,2026-08-15T08:47:14.870Z,88,-36,978
1786783634880,2026-08-15T08:47:14.880Z,21,-25,931
1786783634890,2026-08-15T08:47:14.890Z,41,-21,945
