# Source File: event_5672563_fa2a52e3-2d82-455d-8ff3-dbdb28f453da.gsdata
# Data Type:   GS Data
# Record Count: 2100
# Format: dateTime (epoch ms), dateTime (UTC ISO), x, y, z
dateTime,dateTimeISO,x,y,z
1787485580000,2026-08-23T11:46:20.000Z,132,-39,972
1787485580010,2026-08-23T11:46:20.010Z,33,-36,985
1787485580020,2026-08-23T11:46:20.020Z,33,-37,1057
1787485580030,2026-08-23T11:46:20.030Z,115,-56,1057
1787485580040,2026-08-23T11:46:20.040Z,75,-67,1018
1787485580050,2026-08-23T11:46:20.050Z,78,38,953
1787485580060,2026-08-23T11:46:20.060Z,78,38,953
1787485580070,2026-08-23T11:46:20.070Z,61,7,976
1787485580080,2026-08-23T11:46:20.080Z,75,-42,990
1787485580090,2026-08-23T11:46:20.090Z,0,-35,964
1787485580100,2026-08-23T11:46:20.100Z,44,-27,1029
1787485580110,2026-08-23T11:46:20.110Z,133,-17,1071
1787485580120,2026-08-23T11:46:20.120Z,16,-4,996
1787485580130,2026-08-23T11:46:20.130Z,85,24,1028
1787485580140,2026-08-23T11:46:20.140Z,29,56,882
1787485580150,2026-08-23T11:46:20.150Z,99,16,929
1787485580160,2026-08-23T11:46:20.160Z,100,-54,951
1787485580170,2026-08-23T11:46:20.170Z,41,-96,954
1787485580180,2026-08-23T11:46:20.180Z,61,-67,984
1787485580190,2026-08-23T11:46:20.190Z,80,-38,984
1787485580200,2026-08-23T11:46:20.200Z,-51,-30,980
1787485580210,2026-08-23T11:46:20.210Z,96,-13,1073
1787485580220,2026-08-23T11:46:20.220Z,-69,5,917
1787485580230,2026-08-23T11:46:20.230Z,78,-8,1005
1787485580240,2026-08-23T11:46:20.240Z,109,-18,1018
1787485580250,2026-08-23T11:46:20.250Z,53,-53,976
1787485580260,2026-08-23T11:46:20.260Z,90,-67,1019
1787485580270,2026-08-23T11:46:20.270Z,-46,-104,1075
1787485580280,2026-08-23T11:46:20.280Z,-46,-104,1075
1787485580290,2026-08-23T11:46:20.290Z,24,-84,1001
1787485580300,2026-08-23T11:46:20.300Z,-50,-66,955
1787485580310,2026-08-23T11:46:20.310Z,79,-25,1043
1787485580320,2026-08-23T11:46:20.320Z,40,2,1042
1787485580330,2026-08-23T11:46:20.330Z,116,22,1054
1787485580340,2026-08-23T11:46:20.340Z,85,-70,938
1787485580350,2026-08-23T11:46:20.350Z,137,-84,1003
1787485580360,2026-08-23T11:46:20.360Z,25,-104,1071
1787485580370,2026-08-23T11:46:20.370Z,7,-63,1016
1787485580380,2026-08-23T11:46:20.380Z,-70,-72,958
1787485580390,2026-08-23T11:46:20.390Z,48,-91,993
1787485580400,2026-08-23T11:46:20.400Z,-18,-48,934
1787485580410,2026-08-23T11:46:20.410Z,98,-48,1038
1787485580420,2026-08-23T11:46:20.420Z,173,-51,1093
1787485580430,2026-08-23T11:46:20.430Z,171,-46,1152
1787485580440,2026-08-23T11:46:20.440Z,16,-42,1130
1787485580450,2026-08-23T11:46:20.450Z,60,-25,1043
1787485580460,2026-08-23T11:46:20.460Z,-82,-56,867
1787485580470,2026-08-23T11:46:20.470Z,28,-100,848
1787485580480,2026-08-23T11:46:20.480Z,-13,-67,878
1787485580490,2026-08-23T11:46:20.490Z,158,44,1226
1787485580500,2026-08-23T11:46:20.500Z,175,104,1205
1787485580510,2026-08-23T11:46:20.510Z,200,91,1134
1787485580520,2026-08-23T11:46:20.520Z,64,22,1051
1787485580530,2026-08-23T11:46:20.530Z,33,-68,760
1787485580540,2026-08-23T11:46:20.540Z,-68,-144,776
1787485580550,2026-08-23T11:46:20.550Z,92,-179,994
1787485580560,2026-08-23T11:46:20.560Z,73,-139,1035
1787485580570,2026-08-23T11:46:20.570Z,99,70,1213
1787485580580,2026-08-23T11:46:20.580Z,179,142,1141
1787485580590,2026-08-23T11:46:20.590Z,-68,123,945
1787485580600,2026-08-23T11:46:20.600Z,43,77,895
1787485580610,2026-08-23T11:46:20.610Z,99,-90,827
1787485580620,2026-08-23T11:46:20.620Z,-25,-134,900
1787485580630,2026-08-23T11:46:20.630Z,207,-148,1086
1787485580640,2026-08-23T11:46:20.640Z,128,-120,1065
1787485580650,2026-08-23T11:46:20.650Z,132,52,1007
1787485580660,2026-08-23T11:46:20.660Z,79,107,857
1787485580670,2026-08-23T11:46:20.670Z,20,85,843
1787485580680,2026-08-23T11:46:20.680Z,140,21,899
1787485580690,2026-08-23T11:46:20.690Z,72,-38,890
1787485580700,2026-08-23T11:46:20.700Z,128,-60,952
1787485580710,2026-08-23T11:46:20.710Z,60,-78,1005
1787485580720,2026-08-23T11:46:20.720Z,157,-67,980
1787485580730,2026-08-23T11:46:20.730Z,141,-26,894
1787485580740,2026-08-23T11:46:20.740Z,123,30,850
1787485580750,2026-08-23T11:46:20.750Z,206,82,1070
1787485580760,2026-08-23T11:46:20.760Z,206,82,1070
1787485580770,2026-08-23T11:46:20.770Z,-10,-3,946
1787485580780,2026-08-23T11:46:20.780Z,-10,-3,946
1787485580790,2026-08-23T11:46:20.790Z,31,-30,1008
1787485580800,2026-08-23T11:46:20.800Z,83,-43,1033
1787485580810,2026-08-23T11:46:20.810Z,70,-45,1084
1787485580820,2026-08-23T11:46:20.820Z,108,-23,1029
1787485580830,2026-08-23T11:46:20.830Z,-75,-4,976
1787485580840,2026-08-23T11:46:20.840Z,195,61,1146
1787485580850,2026-08-23T11:46:20.850Z,53,99,1026
1787485580860,2026-08-23T11:46:20.860Z,159,103,1038
1787485580870,2026-08-23T11:46:20.870Z,97,81,989
1787485580880,2026-08-23T11:46:20.880Z,71,28,932
1787485580890,2026-08-23T11:46:20.890Z,129,-19,959
1787485580900,2026-08-23T11:46:20.900Z,137,-49,984
1787485580910,2026-08-23T11:46:20.910Z,-23,-84,976
1787485580920,2026-08-23T11:46:20.920Z,35,-56,1053
1787485580930,2026-08-23T11:46:20.930Z,-56,11,1107
